page,x,y,width,height,stroke_color,fill_color,line_width
1,484.96,428.0,39.08,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,524.04,428.0,43.96,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,25.0,364.5,350.36,61.5,0 G,0 g,0.5
1,27.0,413.0,346.36,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,401.5,85.79,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,112.79,401.5,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,144.57,401.5,85.79,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,230.37,401.5,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,262.14,401.5,79.44,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,341.58,401.5,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,390.0,85.79,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,112.79,390.0,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,144.57,390.0,85.79,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,230.37,390.0,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,262.14,390.0,79.44,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,341.58,390.0,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,379.0,346.36,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,366.5,346.36,12.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,367.0,64.82,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,91.82,367.0,101.27,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,193.09,367.0,78.99,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,272.08,367.0,101.27,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,375.36,364.5,194.64,61.5,0 G,0 g,0.5
1,377.36,412.5,81.7,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,459.06,412.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,486.3,412.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,513.53,412.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,540.77,412.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,377.36,401.0,81.7,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,459.06,401.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,486.3,401.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,513.53,401.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,540.77,401.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,377.36,389.5,81.7,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,459.06,389.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,486.3,389.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,513.53,389.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,540.77,389.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,377.36,378.0,81.7,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,459.06,378.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,486.3,378.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,513.53,378.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,540.77,378.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,377.36,366.5,81.7,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,459.06,366.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,486.3,366.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,513.53,366.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
