page,text,text_x,text_y,font,font_size,rect_x,rect_y,rect_width,rect_height,stroke_color,fill_color,line_width
1,2,164.12,515.5,F2,7.0,141.41,513.0,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,0,192.72,515.5,F2,7.0,170.01,513.0,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,"",204.61,514.5,F2,7.5,202.61,512.5,201.89,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Furniture Availability,410.5,514.5,F2,7.5,408.5,512.5,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,270,554.32,515.0,F2,7.0,535.38,512.5,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Handwash Near Toilet,29.0,503.5,F2,7.5,27.0,501.5,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,178.33,504.0,F2,7.0,141.41,501.5,57.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Other Rooms,204.61,503.0,F2,7.5,202.61,501.0,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,398.61,503.5,F2,7.0,324.44,501.0,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Electricity Availability,410.5,503.0,F2,7.5,408.5,501.0,93.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,504.12,503.5,F2,7.0,502.12,501.0,65.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Handwash Facility for Meal,29.0,492.0,F2,7.5,27.0,490.0,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,178.33,492.5,F2,7.0,141.41,490.0,57.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Library Availability,204.61,491.5,F2,7.5,202.61,489.5,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,384.22,492.0,F2,7.0,324.44,489.5,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Solar Panel,410.5,491.5,F2,7.5,408.5,489.5,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-No,550.83,492.0,F2,7.0,535.38,489.5,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,"",,,,,27.0,478.0,171.61,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Separate Room for HM,204.61,480.0,F2,7.5,202.61,478.0,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,384.22,480.5,F2,7.0,324.44,478.0,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Medical checkups,410.5,480.0,F2,7.5,408.5,478.0,126.88,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,547.72,480.5,F2,7.0,535.38,478.0,32.63,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Digital Facilities (Functional),133.07,465.0,F1,7.0,27.0,463.0,307.43,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"No.of Students Received (DCF 5.1 , 5.2)",346.35,464.75,F1,7.0,338.43,462.5,146.53,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Primary,486.96,464.5,F2,7.5,484.96,462.5,39.08,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Up.Primary,526.04,464.5,F2,7.5,524.04,462.5,43.96,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
