page,text,text_x,text_y,font,font_size,rect_x,rect_y,rect_width,rect_height,stroke_color,fill_color,line_width
1,2-No,112.31,447.5,F2,7.0,103.86,445.0,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Internet,131.48,447.0,F2,7.5,129.48,445.0,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,211.67,447.5,F2,7.0,206.33,445.0,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Desktop,233.95,447.0,F2,7.5,231.95,445.0,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,10,324.64,447.5,F2,7.0,308.81,445.0,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Free text books,340.43,446.5,F2,7.5,338.43,444.5,146.53,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,518.15,447.0,F2,7.0,484.96,444.5,39.08,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,0,562.11,447.0,F2,7.0,524.04,444.5,43.96,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Laptop,29.0,435.5,F2,7.5,27.0,433.5,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,123.58,436.0,F2,7.0,103.86,433.5,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Tablet,131.48,435.5,F2,7.5,129.48,433.5,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,40,222.17,436.0,F2,7.0,206.33,433.5,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Printer,233.95,435.5,F2,7.5,231.95,433.5,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,3,328.54,436.0,F2,7.0,308.81,433.5,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Transport,340.43,435.0,F2,7.5,338.43,433.0,146.53,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,518.15,435.5,F2,7.0,484.96,433.0,39.08,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,0,562.11,435.5,F2,7.0,524.04,433.0,43.96,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Projector,29.0,423.75,F2,7.5,27.0,421.5,76.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1,123.58,424.5,F2,7.0,103.86,421.5,25.62,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,DTH,131.48,423.75,F2,7.5,129.48,421.5,76.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-No,214.78,424.5,F2,7.0,206.33,421.5,25.62,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,DigiBoard,233.95,423.75,F2,7.5,231.95,421.5,76.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,328.54,424.5,F2,7.0,308.81,421.5,25.62,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Free uniform,340.43,423.5,F2,7.5,338.43,421.5,146.53,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,518.15,424.0,F2,7.0,484.96,421.5,39.08,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,0,562.11,424.0,F2,7.0,524.04,421.5,43.96,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,SMC & SMDC Information,157.4,408.5,F1,7.0,27.0,406.5,346.36,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Indicators,401.48,408.25,F1,7.0,377.36,406.0,81.7,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Pri.,461.06,408.0,F2,7.5,459.06,406.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Up.Pri,488.3,408.0,F2,7.5,486.3,406.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Sec.,515.53,408.0,F2,7.5,513.53,406.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,H.Sec,542.77,408.0,F2,7.5,540.77,406.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,SMC Exists,29.0,397.0,F2,7.5,27.0,395.0,85.79,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,124.29,397.5,F2,7.0,112.79,395.0,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,SMC & SMDC Same,146.57,397.0,F2,7.5,144.57,395.0,85.79,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,NA,250.42,397.5,F2,7.0,230.37,395.0,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,SMDC Constituted,264.14,397.0,F2,7.5,262.14,395.0,79.44,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,353.07,397.5,F2,7.0,341.58,395.0,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Instructional days,379.36,396.5,F2,7.5,377.36,394.5,81.7,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,220,472.62,397.0,F2,7.0,459.06,394.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,220,499.85,397.0,F2,7.0,486.3,394.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,220,527.09,397.0,F2,7.0,513.53,394.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,220,554.32,397.0,F2,7.0,540.77,394.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Text Books Received,29.0,385.5,F2,7.5,27.0,383.5,85.79,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,124.29,386.0,F2,7.0,112.79,383.5,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Special Training,146.57,385.5,F2,7.5,144.57,383.5,85.79,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-No,244.97,386.0,F2,7.0,230.37,383.5,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Material for Training,264.14,385.5,F2,7.5,262.14,383.5,79.44,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,353.07,386.0,F2,7.0,341.58,383.5,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
